,,,,,,,평균값,평균값,평균값,평균값,평균값,평균값,평균값,평균값,평균값,평균값,평균값,평균값,평균값,평균값,평균값,평균값,평균값,평균값,평균값,평균값,평균값,평균값,평균값,평균값,평균값,평균값,평균값,평균값,평균값
CM22 코타와인더,2025.02.28,한솔감열지SF 장항,48,2025,2,0915,2.20,36.40,4.80,2.23,3.18,6.50,3.34,2.12,2.37,55.80,99.31,92.62,85.35,-0.50,1.10,93.89,145.00,95.00,"1,300.00",,,1.37,0.16,,,47.50,184.00,722.00,
CM22 코타와인더,2025.02.28,한솔감열지SF 장항,48,2025,2,1232,5.30,36.50,4.96,2.35,3.18,5.50,3.34,2.09,2.36,55.20,99.27,92.42,85.04,-0.51,1.12,93.80,142.00,92.00,"1,300.00",,,1.41,0.16,,,46.80,186.00,632.00,
CM22 코타와인더,2025.02.28,한솔감열지SF 장항,48,2025,2,1710,10.10,36.00,4.89,2.32,3.18,6.19,3.29,2.04,2.33,55.30,99.80,92.50,84.60,-0.53,1.08,93.80,140.00,90.00,"1,300.00",,,1.38,0.16,,,47.10,187.00,722.00,
CM22 코타와인더,2025.02.28,한솔감열지SF 장항,48,2025,2,2039,2.40,36.00,4.81,2.25,3.21,6.40,3.35,2.13,2.35,56.70,98.80,92.20,85.90,-0.53,1.10,93.90,138.00,88.00,"1,300.00",,,1.39,0.17,,,48.30,190.00,760.00,
CM22 코타와인더,2025.03.01,한솔감열지SF 장항,48,2025,3,0030,6.30,36.50,5.01,2.31,3.23,6.17,3.34,2.15,2.37,56.50,100.20,92.70,84.90,-0.50,1.13,93.90,138.00,88.00,"1,300.00",,,1.36,0.16,,,47.70,172.00,666.00,
CM22 코타와인더,2025.03.01,한솔감열지SF 장항,48,2025,3,0400,10.00,36.50,4.98,2.37,3.25,6.42,3.35,2.09,2.37,56.20,99.60,92.50,85.40,-0.52,1.12,93.80,138.00,88.00,"1,300.00",,,1.41,0.17,,,47.80,173.00,616.00,
CM22 코타와인더,2025.03.01,한솔감열지SF 장항,48,2025,3,0839,14.60,36.80,5.11,2.45,3.25,6.32,3.31,2.08,2.35,57.20,99.60,92.50,85.40,-0.47,1.12,93.80,138.00,88.00,"1,300.00",,,1.39,0.17,,,48.10,178.00,607.00,
CM22 코타와인더,2025.03.02,한솔감열지SF 장항,48,2025,3,2158,7.50,36.00,5.01,2.50,3.28,6.55,3.38,2.11,2.41,56.70,99.80,92.30,84.90,-0.55,1.14,93.70,138.00,88.00,"1,300.00",,,1.49,0.17,,,48.00,190.00,612.00,
CM22 코타와인더,2025.03.03,한솔감열지SF 장항,48,2025,3,0100,2.30,37.20,4.94,2.42,3.26,6.47,3.38,2.11,2.38,56.90,99.38,92.44,85.59,-0.50,1.11,93.79,138.00,88.00,"1,300.00",,,1.45,0.17,,,48.30,186.00,583.00,
CM22 코타와인더,2025.03.03,한솔감열지SF 장항,48,2025,3,2059,1.40,37.10,5.04,2.33,3.30,6.75,3.41,2.14,2.39,56.20,100.47,92.64,86.05,-0.45,1.01,93.79,142.00,92.00,"1,300.00",,,1.48,0.17,,,48.00,184.00,603.00,
CM22 코타와인더,2025.03.03,한솔감열지SF 장항,48,2025,3,0345,5.10,37.10,4.99,2.39,3.24,6.35,3.34,2.06,2.36,56.40,100.12,92.77,85.66,-0.46,1.07,93.90,138.00,88.00,"1,300.00",,,1.42,0.17,,,47.80,188.00,589.00,
CM22 코타와인더,2025.03.03,한솔감열지SF 장항,48,2025,3,1610,17.70,37.20,4.98,2.49,3.28,6.42,3.30,2.13,2.36,56.40,100.40,92.30,85.60,-0.48,1.00,93.60,142.00,92.00,"1,300.00",,,1.43,0.17,,,48.00,182.00,592.00,
CM22 코타와인더,2025.03.03,한솔감열지SF 장항,48,2025,3,1305,14.60,37.20,4.90,2.52,3.27,6.17,3.33,2.14,2.37,56.70,100.80,92.30,85.60,-0.50,1.03,93.60,142.00,92.00,"1,300.00",,,1.43,0.17,,,48.00,186.00,579.00,
CM22 코타와인더,2025.03.03,한솔감열지SF 장항,48,2025,3,0826,10.00,37.00,4.98,2.48,3.27,6.02,3.35,2.11,2.36,56.80,100.10,92.50,85.60,-0.47,1.05,93.80,138.00,88.00,"1,300.00",,,1.49,0.16,,,47.70,189.00,589.00,
CM22 코타와인더,2025.03.04,한솔감열지SF 장항,48,2025,3,1016,6.30,36.60,5.17,2.44,3.30,6.32,3.38,2.10,2.40,56.60,99.60,92.00,86.30,-0.47,1.01,93.50,142.00,92.00,"1,300.00",,,1.48,0.17,,,47.50,181.00,576.00,
CM22 코타와인더,2025.03.04,한솔감열지SF 장항,48,2025,3,1322,9.50,36.90,4.97,2.43,3.28,6.30,3.40,2.12,2.41,57.90,99.80,92.50,85.60,-0.53,1.09,93.80,142.00,92.00,"1,300.00",,,1.50,0.17,,,48.30,186.00,556.00,
CM22 코타와인더,2025.03.04,한솔감열지SF 장항,48,2025,3,1628,12.30,36.50,4.84,2.57,3.25,6.10,3.31,2.10,2.39,56.50,100.20,92.30,85.70,-0.52,0.99,93.60,142.00,92.00,"1,300.00",,,1.47,0.17,,,47.40,178.00,581.00,
CM22 코타와인더,2025.03.04,한솔감열지SF 장항,48,2025,3,2108,17.10,36.50,4.94,2.51,3.25,6.41,3.31,2.00,2.35,56.90,99.90,92.00,86.70,-0.47,0.97,93.50,142.00,92.00,"1,300.00",,,1.45,0.17,,,47.60,179.00,503.00,
CM22 코타와인더,2025.03.05,한솔감열지SF 장항,48,2025,3,0802,8.00,36.80,4.98,2.39,3.25,6.39,3.36,2.10,2.36,56.90,99.70,92.60,86.30,-0.52,1.07,93.80,142.00,92.00,"1,300.00",,,1.44,0.17,,,48.20,183.00,570.00,
CM22 코타와인더,2025.03.05,한솔감열지SF 장항,48,2025,3,1637,16.20,36.50,5.00,2.67,3.25,5.78,3.35,1.97,2.37,56.50,99.30,91.40,85.30,-0.49,1.06,93.30,142.00,92.00,"1,300.00",,,1.47,0.17,,,46.80,164.00,411.00,
CM22 코타와인더,2025.03.05,한솔감열지SF 장항,48,2025,3,2001,19.40,36.50,5.07,2.68,3.25,6.37,3.34,2.04,2.40,57.30,98.40,91.30,86.70,-0.57,1.10,93.30,142.00,92.00,"1,300.00",,,1.50,0.18,,,48.30,173.00,507.00,
CM22 코타와인더,2025.03.05,한솔감열지SF 장항,48,2025,3,1245,12.50,36.70,5.13,2.56,3.25,5.76,3.32,2.06,2.38,56.70,99.70,92.00,85.40,-0.49,1.02,93.40,142.00,92.00,"1,300.00",,,1.48,0.17,,,47.50,178.00,510.00,
CM22 코타와인더,2025.03.05,한솔감열지SF 장항,48,2025,3,0457,4.40,37.20,5.02,2.37,3.25,6.01,3.35,2.11,2.38,56.30,99.88,92.24,86.00,-0.51,1.00,93.63,142.00,92.00,"1,300.00",,,1.47,0.17,,,47.70,182.00,564.00,
CM22 코타와인더,2025.03.05,한솔감열지SF 장항,48,2025,3,0151,,37.20,4.95,2.30,3.27,6.22,3.38,2.12,2.38,56.70,100.20,92.85,85.41,-0.49,1.05,93.91,142.00,92.00,"1,300.00",,,1.41,0.17,,,47.60,180.00,590.00,
CM22 코타와인더,2025.03.06,한솔감열지SF 장항,48,2025,3,0136,4.50,37.00,5.00,2.49,3.25,6.41,3.36,2.10,2.38,56.90,100.18,92.38,85.72,-0.49,0.99,93.67,142.00,92.00,"1,200.00",,,1.48,0.17,,,48.10,186.00,536.00,
CM22 코타와인더,2025.03.06,한솔감열지SF 장항,48,2025,3,0539,8.50,36.70,5.58,2.69,3.25,6.10,3.30,1.99,2.34,56.20,100.11,91.40,84.47,-0.56,0.99,93.11,137.00,87.00,"1,200.00",,,1.42,0.17,,,47.90,162.00,507.00,
CM22 코타와인더,2025.03.06,한솔감열지SF 장항,48,2025,3,1838,1.40,36.50,5.24,2.25,3.32,8.19,3.39,2.16,2.43,57.60,99.90,92.40,87.50,-0.60,0.99,93.70,137.00,87.00,"1,080.00",,,1.48,0.17,,,50.20,179.00,794.00,
CM22 코타와인더,2025.03.06,한솔감열지SF 장항,48,2025,3,2022,4.00,36.50,5.01,2.35,3.28,6.99,3.40,2.11,2.40,56.80,99.80,92.20,86.20,-0.56,1.01,93.60,137.00,87.00,"1,140.00",,,1.50,0.17,,,48.60,172.00,623.00,
CM22 코타와인더,2025.03.07,한솔감열지SF 장항,48,2025,3,0111,8.40,37.10,5.40,2.52,2.70,6.49,3.41,2.07,2.40,56.90,99.82,92.24,86.21,-0.55,0.99,93.66,137.00,87.00,"1,300.00",,,1.47,0.16,,,48.20,170.00,529.00,
CM22 코타와인더,2025.03.10,한솔감열지SF 장항,48,2025,3,0711,6.00,36.50,5.15,2.45,3.20,6.31,3.31,2.13,2.38,56.60,99.70,91.80,85.80,-0.59,1.07,93.50,143.00,93.00,"1,300.00",,,1.47,0.17,,,47.70,176.00,536.00,
CM22 코타와인더,2025.03.10,한솔감열지SF 장항,48,2025,3,0833,7.20,36.00,5.21,2.39,3.20,6.48,3.35,2.16,2.40,56.20,99.80,92.20,85.50,-0.59,1.08,93.70,143.00,93.00,"1,300.00",,,1.47,0.17,,,47.40,182.00,625.00,
CM22 코타와인더,2025.03.14,한솔감열지SF 장항,48,2025,3,1038,1.50,36.50,4.92,2.33,3.32,7.27,3.39,2.17,2.45,57.50,101.40,93.60,87.20,-0.44,0.96,94.20,148.00,98.00,"1,230.00",,,1.43,0.16,,,48.90,191.00,533.00,
CM22 코타와인더,2025.03.14,한솔감열지SF 장항,48,2025,3,1342,4.50,36.50,4.87,2.45,3.28,7.29,3.39,2.12,2.42,57.40,100.50,93.10,87.10,-0.48,1.01,94.00,140.00,90.00,"1,300.00",,,1.46,0.17,,,47.80,187.00,541.00,
CM22 코타와인더,2025.03.14,한솔감열지SF 장항,48,2025,3,1647,8.00,36.50,4.70,2.49,4.71,7.17,3.43,2.14,2.42,56.70,100.80,92.90,86.70,-0.47,1.01,93.90,145.00,95.00,"1,300.00",,,1.46,0.17,,,47.60,191.00,537.00,
CM22 코타와인더,2025.03.14,한솔감열지SF 장항,48,2025,3,2125,12.40,36.00,4.90,2.44,3.22,6.78,3.38,2.12,2.42,57.30,99.90,92.80,86.50,-0.49,1.07,93.90,145.00,95.00,"1,300.00",,,1.44,0.17,,,47.60,181.00,495.00,
CM22 코타와인더,2025.03.15,한솔감열지SF 장항,48,2025,3,0137,1.20,36.00,4.75,2.32,3.20,6.91,3.40,2.12,2.37,57.40,99.80,92.90,86.90,-0.45,1.01,93.90,148.00,98.00,"1,300.00",,,1.43,0.17,,,48.10,183.00,520.00,
CM22 코타와인더,2025.03.15,한솔감열지SF 장항,48,2025,3,0442,4.20,36.00,4.83,2.36,3.20,6.62,3.41,2.13,2.40,57.50,99.40,92.30,86.50,-0.48,1.04,93.80,150.00,100.00,"1,300.00",,,1.42,0.17,,,47.50,182.00,512.00,
CM22 코타와인더,2025.03.15,한솔감열지SF 장항,48,2025,3,1256,4.50,36.50,4.82,2.37,3.23,6.40,3.35,2.11,2.40,56.90,99.50,92.50,86.20,-0.48,1.08,93.80,150.00,100.00,"1,300.00",,,1.45,0.17,,,47.50,188.00,486.00,
CM22 코타와인더,2025.03.15,한솔감열지SF 장항,48,2025,3,0951,1.50,36.50,4.90,2.35,3.20,6.66,3.32,2.09,2.35,56.80,99.30,93.00,85.30,-0.49,1.13,94.10,150.00,100.00,"1,240.00",,,1.35,0.16,,,47.60,193.00,560.00,
CM22 코타와인더,2025.03.15,한솔감열지SF 장항,48,2025,3,1930,1.60,36.40,5.03,2.40,3.23,6.93,3.36,2.10,2.39,56.70,98.90,92.60,86.00,-0.51,1.12,93.90,150.00,100.00,"1,300.00",,,1.36,0.16,,,47.60,178.00,512.00,
CM22 코타와인더,2025.03.16,한솔감열지SF 장항,48,2025,3,0108,2.50,36.00,4.93,2.53,3.21,6.62,3.31,2.06,2.36,56.90,100.10,92.60,85.80,-0.48,1.07,93.80,150.00,100.00,"1,300.00",,,1.42,0.17,,,47.20,183.00,469.00,
CM22 코타와인더,2025.03.16,한솔감열지SF 장항,48,2025,3,0447,6.30,36.00,5.07,2.59,3.21,6.65,3.31,2.10,2.37,57.00,99.50,92.20,86.10,-0.54,1.11,93.70,150.00,100.00,"1,300.00",,,1.43,0.17,,,47.60,194.00,540.00,
CM22 코타와인더,2025.03.16,한솔감열지SF 장항,48,2025,3,0811,10.00,37.00,4.78,2.48,3.21,6.43,3.35,2.05,2.36,56.50,99.01,92.84,85.72,-0.53,1.18,94.08,150.00,100.00,"1,300.00",,,1.39,0.16,,,47.60,191.00,485.00,
CM22 코타와인더,2025.03.24,한솔감열지SF 장항,48,2025,3,0309,1.00,36.40,5.02,2.39,3.23,7.04,3.40,2.15,2.41,56.70,98.45,92.20,86.66,-0.47,1.07,93.74,150.00,100.00,"1,210.00",,,1.45,0.17,,,48.00,183.00,506.00,
CM22 코타와인더,2025.03.24,한솔감열지SF 장항,48,2025,3,1414,1.00,36.30,5.03,2.26,3.15,7.17,3.38,2.15,2.40,57.20,98.50,91.50,87.10,-0.55,1.03,93.40,150.00,100.00,"1,220.00",,,1.43,0.18,,,48.30,186.00,526.00,
CM22 코타와인더,2025.03.24,한솔감열지SF 장항,48,2025,3,0827,3.50,36.20,4.95,2.44,3.17,6.55,3.33,2.09,2.39,57.00,98.90,91.80,86.60,-0.53,1.07,93.60,150.00,100.00,"1,300.00",,,1.42,0.17,,,47.60,185.00,489.00,
CM22 코타와인더,2025.03.24,한솔감열지SF 장항,48,2025,3,1605,3.00,36.50,4.94,2.39,3.13,6.55,3.36,2.08,1.37,56.60,98.90,92.00,87.00,-0.51,1.07,93.60,150.00,100.00,"1,300.00",,,1.39,0.17,,,48.00,189.00,517.00,
CM22 코타와인더,2025.03.24,한솔감열지SF 장항,48,2025,3,2150,7.10,36.50,4.80,2.48,3.13,7.54,3.38,2.14,2.37,56.70,99.40,92.60,87.40,-0.54,1.00,93.80,150.00,100.00,"1,300.00",,,1.39,0.18,,,49.10,206.00,502.00,
CM22 코타와인더,2025.03.25,한솔감열지SF 장항,48,2025,3,1409,1.60,36.40,4.89,2.20,3.13,7.06,3.40,2.13,2.38,56.70,98.30,92.00,86.80,-0.49,1.07,93.60,150.00,100.00,"1,300.00",,,1.45,0.17,,,47.90,186.00,553.00,
CM22 코타와인더,2025.03.25,한솔감열지SF 장항,48,2025,3,1714,4.50,36.50,4.85,2.40,3.13,6.42,3.38,2.16,2.41,56.20,97.90,91.80,86.90,-0.50,1.09,93.50,150.00,100.00,"1,300.00",,,1.38,0.17,,,47.20,182.00,526.00,
CM22 코타와인더,2025.03.25,한솔감열지SF 장항,48,2025,3,0056,3.30,36.50,4.91,2.39,3.13,6.70,3.37,2.10,2.38,56.50,98.94,91.77,86.56,-0.56,1.05,93.53,150.00,100.00,"1,300.00",,,1.43,0.17,,,47.40,182.00,514.00,
CM22 코타와인더,2025.03.25,한솔감열지SF 장항,48,2025,3,0401,6.30,35.80,4.93,2.45,3.13,6.79,3.35,2.11,2.37,56.10,99.09,91.90,86.16,-0.55,1.05,93.57,150.00,100.00,"1,300.00",,,1.37,0.17,,,47.10,189.00,514.00,
CM22 코타와인더,2025.03.25,한솔감열지SF 장항,48,2025,3,0838,11.10,0.38,4.93,2.40,3.13,6.67,3.36,2.09,2.37,56.80,99.10,91.70,85.90,-0.58,1.10,93.50,150.00,100.00,"1,300.00",,,1.45,0.17,,,47.20,194.00,724.00,
CM22 코타와인더,2025.03.25,한솔감열지SF 장항,48,2025,3,1956,7.20,36.50,4.78,2.37,3.11,6.63,3.35,2.11,2.39,56.00,97.80,92.00,86.20,-0.50,1.11,93.70,150.00,100.00,"1,300.00",,,1.41,0.17,,,47.00,187.00,493.00,
CM22 코타와인더,2025.03.26,한솔감열지SF 장항,48,2025,3,0542,17.10,36.40,4.75,2.49,3.11,6.65,3.34,2.08,2.37,56.50,98.65,92.21,85.99,-0.49,1.08,93.76,148.00,98.00,"1,300.00",,,1.38,0.17,,,47.20,188.00,519.00,
CM22 코타와인더,2025.03.26,한솔감열지SF 장항,48,2025,3,0235,14.00,36.20,4.92,2.44,3.09,6.90,3.33,2.06,2.37,55.90,99.18,92.36,85.71,-0.47,1.04,93.78,150.00,100.00,"1,300.00",,,1.39,0.17,,,46.90,190.00,505.00,
CM22 코타와인더,2025.03.26,한솔감열지SF 장항,48,2025,3,1330,3.10,36.00,4.94,2.32,3.13,6.79,3.34,2.10,2.36,56.50,,5.00,,,,,148.00,98.00,"1,300.00",,,1.44,0.18,,,47.50,183.00,545.00,
CM22 코타와인더,2025.03.26,한솔감열지SF 장항,48,2025,3,0847,20.10,36.00,4.90,2.50,3.11,6.75,3.32,2.11,2.36,56.40,98.90,91.90,86.20,-0.55,1.10,93.60,148.00,98.00,"1,300.00",,,1.44,0.17,,,47.00,185.00,448.00,
CM22 코타와인더,2025.03.26,한솔감열지SF 장항,48,2025,3,1718,7.00,36.50,5.12,2.41,3.13,6.59,3.34,2.16,2.39,57.10,98.00,91.80,86.10,-0.48,1.02,93.60,148.00,98.00,"1,300.00",,,1.40,0.17,,,47.10,196.00,519.00,
CM22 코타와인더,2025.03.30,한솔감열지SF 장항,48,2025,3,1925,1.40,36.70,5.45,2.53,3.16,6.85,3.38,2.13,2.38,56.80,98.65,92.26,86.02,-0.42,0.97,93.68,148.00,98.00,"1,300.00",,,1.36,0.17,,,47.30,177.00,502.00,
CM22 코타와인더,2025.04.04,한솔감열지SF 장항,48,2025,4,0620,2.40,36.00,5.37,2.61,3.13,6.55,3.36,2.13,2.39,56.70,99.10,92.70,85.80,-0.46,0.97,93.80,150.00,100.00,"1,300.00",,,1.44,0.17,,,47.20,178.00,520.00,
CM22 코타와인더,2025.04.04,한솔감열지SF 장항,48,2025,4,0924,5.50,36.00,5.23,2.58,3.13,6.41,3.31,2.08,2.37,56.30,98.80,92.10,86.00,-0.50,0.96,93.60,150.00,100.00,"1,300.00",,,1.41,0.17,,,47.20,179.00,467.00,
CM22 코타와인더,2025.04.04,한솔감열지SF 장항,48,2025,4,1632,2.00,36.20,5.02,2.48,3.15,6.87,3.37,2.14,2.39,56.30,99.30,92.30,86.10,-0.47,0.94,93.70,150.00,100.00,"1,300.00",,,1.45,0.17,,,47.50,195.00,570.00,
CM22 코타와인더,2025.04.04,한솔감열지SF 장항,48,2025,4,1229,9.00,36.00,5.18,2.68,3.13,6.48,3.31,2.07,2.37,56.30,99.10,92.30,85.90,-0.48,0.98,93.60,150.00,100.00,"1,300.00",,,1.41,0.18,,,46.80,183.00,482.00,
CM22 코타와인더,2025.04.04,한솔감열지SF 장항,48,2025,4,2224,2.50,36.20,4.97,2.37,3.13,6.66,3.34,2.14,2.38,56.10,99.30,92.20,86.50,-0.50,0.96,93.60,150.00,100.00,"1,300.00",,,1.45,0.17,,,47.20,196.00,529.00,
CM22 코타와인더,2025.04.05,한솔감열지SF 장항,48,2025,4,0057,5.00,36.00,5.18,2.50,3.13,6.36,3.38,2.14,2.39,56.80,99.00,91.80,86.30,-0.52,0.92,93.40,150.00,100.00,"1,300.00",,,1.43,0.18,,,47.10,193.00,570.00,
CM22 코타와인더,2025.04.05,한솔감열지SF 장항,48,2025,4,0421,8.20,36.00,5.13,2.53,3.11,6.23,3.33,2.11,2.37,55.80,94.40,92.20,85.90,-0.49,0.92,93.60,150.00,100.00,"1,300.00",,,1.42,0.18,,,46.70,185.00,515.00,
CM22 코타와인더,2025.04.05,한솔감열지SF 장항,48,2025,4,0947,13.50,36.60,5.17,2.65,3.13,6.49,3.32,2.11,2.37,56.80,100.25,92.60,85.85,-0.46,0.89,93.71,147.00,97.00,"1,300.00",,,1.40,0.17,,,47.20,184.00,459.00,
CM22 코타와인더,2025.04.05,한솔감열지SF 장항,48,2025,4,1254,17.00,36.20,5.17,2.75,3.13,6.54,3.36,2.13,2.38,57.00,99.74,92.30,85.88,-0.53,0.91,93.64,147.00,97.00,"1,300.00",,,1.41,0.17,,,47.10,186.00,498.00,
CM22 코타와인더,2025.04.05,한솔감열지SF 장항,48,2025,4,1601,20.00,36.30,5.15,2.70,3.13,6.82,3.36,2.13,2.40,56.80,99.30,92.00,86.60,-0.54,0.90,93.50,147.00,97.00,"1,300.00",,,1.42,0.18,,,47.50,185.00,474.00,
CM22 코타와인더,2025.04.05,한솔감열지SF 장항,48,2025,4,2047,3.00,36.30,5.01,2.40,3.13,6.50,3.35,2.17,2.38,56.90,99.50,92.20,85.70,-0.54,0.94,93.60,147.00,97.00,"1,300.00",,,1.46,0.18,,,47.20,190.00,575.00,
CM22 코타와인더,2025.04.06,한솔감열지SF 장항,48,2025,4,0431,10.50,36.00,5.20,2.60,3.16,6.46,3.35,2.10,2.37,56.70,98.90,92.10,86.00,-0.49,0.93,93.60,147.00,97.00,"1,300.00",,,1.44,0.17,,,46.80,187.00,486.00,
CM22 코타와인더,2025.04.06,한솔감열지SF 장항,48,2025,4,0124,7.50,36.00,5.33,2.66,3.13,6.50,3.33,2.10,2.36,56.80,98.60,92.00,85.90,-0.55,1.00,93.60,147.00,97.00,"1,300.00",,,1.44,0.17,,,46.80,187.00,447.00,
CM22 코타와인더,2025.04.06,한솔감열지SF 장항,48,2025,4,0850,15.10,36.50,5.25,2.77,3.18,6.70,3.33,2.08,2.36,57.00,98.78,91.96,85.87,-0.57,1.00,93.58,147.00,97.00,"1,300.00",,,1.39,0.17,,,47.50,182.00,455.00,
CM22 코타와인더,2025.04.06,한솔감열지SF 장항,48,2025,4,1252,19.10,36.50,5.21,2.75,3.20,6.52,3.34,2.10,2.37,56.90,98.45,92.30,85.88,-0.53,1.04,93.76,147.00,97.00,"1,300.00",,,1.40,0.17,,,47.10,186.00,447.00,
CM22 코타와인더,2025.04.06,한솔감열지SF 장항,48,2025,4,1705,1.50,36.10,5.04,2.42,3.20,6.89,3.36,2.15,2.36,57.00,98.60,92.40,86.30,-0.54,1.02,93.80,147.00,97.00,"1,300.00",,,1.40,0.17,,,47.60,183.00,501.00,
CM22 코타와인더,2025.04.06,한솔감열지SF 장항,48,2025,4,2138,6.00,36.30,5.11,2.66,3.22,6.65,3.30,2.11,2.34,57.00,99.60,92.60,85.90,-0.52,1.00,93.80,147.00,97.00,"1,300.00",,,1.42,0.18,,,47.60,185.00,488.00,
CM22 코타와인더,2025.04.07,한솔감열지SF 장항,48,2025,4,0002,8.30,36.00,5.10,2.51,3.26,6.89,3.38,2.14,2.39,56.80,98.90,92.10,86.40,-0.54,0.97,93.50,147.00,97.00,"1,300.00",,,1.44,0.17,,,47.30,190.00,582.00,
CM22 코타와인더,2025.04.07,한솔감열지SF 장항,48,2025,4,0353,12.20,36.00,5.16,2.52,3.26,7.59,3.37,2.19,2.43,57.10,99.70,92.60,85.80,-0.48,0.99,93.80,147.00,97.00,"1,300.00",,,1.52,0.18,,,47.80,190.00,501.00,
CM22 코타와인더,2025.04.10,한솔감열지SF 장항,48,2025,4,2000,8.10,36.00,5.20,2.58,3.15,6.53,3.39,2.12,2.42,56.50,98.90,92.50,86.40,-0.49,0.99,93.80,147.00,97.00,"1,300.00",,,1.43,0.17,,,47.10,187.00,566.00,
CM22 코타와인더,2025.04.11,한솔감열지SF 장항,48,2025,4,0418,16.30,36.00,5.28,2.57,3.15,6.62,3.37,2.10,2.40,56.90,98.50,92.10,86.10,-0.54,1.00,93.70,147.00,97.00,"1,300.00",,,1.42,0.18,,,47.20,194.00,523.00,
CM22 코타와인더,2025.04.11,한솔감열지SF 장항,48,2025,4,0006,12.20,36.00,5.13,2.58,3.12,6.50,3.35,2.07,2.37,57.30,98.80,92.30,85.80,-0.50,1.02,93.70,147.00,97.00,"1,300.00",,,1.42,0.17,,,47.30,191.00,515.00,
CM22 코타와인더,2025.04.13,한솔감열지SF 장항,48,2025,4,2119,11.50,36.50,5.24,2.67,3.16,6.49,3.35,2.10,2.38,57.30,99.10,92.50,86.40,-0.40,0.93,93.80,147.00,97.00,"1,200.00",,,1.41,0.18,,,46.90,187.00,524.00,
CM22 코타와인더,2025.04.13,한솔감열지SF 장항,48,2025,4,0755,18.60,36.30,5.17,2.62,3.20,6.89,3.32,2.11,2.38,56.80,99.60,92.60,86.00,-0.46,1.00,93.80,147.00,97.00,"1,250.00",,,1.39,0.17,,,47.30,190.00,523.00,
CM22 코타와인더,2025.04.13,한솔감열지SF 장항,48,2025,4,1213,2.60,36.10,5.14,2.52,3.18,6.47,3.37,2.11,2.37,56.80,99.50,92.70,85.90,-0.44,1.04,93.90,147.00,97.00,"1,200.00",,,1.45,0.17,,,47.30,183.00,523.00,
CM22 코타와인더,2025.04.13,한솔감열지SF 장항,48,2025,4,1619,6.40,36.50,5.28,2.69,3.16,6.34,3.35,2.09,2.38,57.20,98.90,92.40,85.90,-0.48,1.08,93.80,147.00,97.00,"1,200.00",,,1.38,0.17,,,46.90,183.00,543.00,
CM22 코타와인더,2025.04.14,한솔감열지SF 장항,48,2025,4,0028,15.00,36.60,5.35,2.62,3.16,7.05,3.38,2.08,2.39,57.40,99.02,92.77,86.03,-0.44,1.03,93.95,147.00,97.00,"1,200.00",,,1.36,0.17,,,47.50,181.00,459.00,
CM22 코타와인더,2025.04.14,한솔감열지SF 장항,48,2025,4,0506,3.00,36.60,5.17,2.48,3.14,7.24,3.38,2.13,2.39,57.10,98.95,92.90,86.09,-0.44,1.04,94.01,147.00,97.00,"1,150.00",,,1.37,0.17,,,47.70,188.00,507.00,
