,,,,,,,평균값,평균값,평균값,평균값,평균값,평균값,평균값,평균값,평균값,평균값,평균값,평균값,평균값,평균값,평균값,평균값,평균값,평균값,평균값,평균값,평균값,평균값,평균값,평균값,평균값,평균값,평균값,평균값,평균값
PM23 초지릴,2025.03.15,한솔감열지SF 장항,48,2025,3,1633,,,5.53,5.24,,,,,,53.10,86.70,93.40,67.90,-0.46,2.89,96.50,80.00,30.00,"1,135.00",132.00,70.00,,,62.00,223.00,38.40,165.00,168.00,13.00
PM23 초지릴,2025.03.23,한솔감열지SF 장항,48,2025,3,0157,,,5.74,5.38,,,,,,53.80,93.51,93.09,67.33,-0.37,2.40,95.78,80.00,30.00,"1,125.00",143.00,71.00,,,63.00,272.00,38.50,150.00,159.00,13.30
PM23 초지릴,2025.03.23,한솔감열지SF 장항,48,2025,3,0515,,,5.69,5.32,,,,,,53.30,93.21,93.08,67.72,-0.30,2.50,95.84,80.00,30.00,"1,125.00",139.00,70.00,,,61.00,214.00,38.40,151.00,162.00,
PM23 초지릴,2025.03.23,한솔감열지SF 장항,48,2025,3,0842,,,5.64,5.32,,,,,,54.00,96.10,93.50,68.80,-0.34,2.55,95.90,80.00,30.00,"1,130.00",143.00,71.00,,,60.00,240.00,38.50,153.00,157.00,13.20
PM23 초지릴,2025.03.23,한솔감열지SF 장항,48,2025,3,1307,,,5.82,5.22,,,,,,53.80,95.90,93.40,68.60,-0.38,2.57,95.90,85.00,35.00,"1,130.00",117.00,71.00,,,61.00,235.00,38.40,153.00,162.00,
PM23 초지릴,2025.03.23,한솔감열지SF 장항,48,2025,3,1609,,,5.68,5.35,,,,,,54.30,95.10,93.30,69.40,-0.40,2.69,95.90,85.00,35.00,"1,126.00",117.00,71.00,,,63.00,256.00,38.50,155.00,164.00,12.80
PM23 초지릴,2025.03.23,한솔감열지SF 장항,48,2025,3,2118,,,5.73,5.19,,,,,,53.10,95.19,93.39,69.49,-0.35,2.68,95.93,85.00,35.00,"1,130.00",136.00,69.00,,,63.00,267.00,38.20,153.00,165.00,
PM23 초지릴,2025.03.24,한솔감열지SF 장항,48,2025,3,0148,,,5.67,5.31,,,,,,52.70,95.61,93.32,67.57,-0.39,2.67,95.88,85.00,35.00,"1,130.00",132.00,70.00,,,63.00,249.00,38.10,149.00,168.00,13.20
PM23 초지릴,2025.03.24,한솔감열지SF 장항,48,2025,3,0514,,,5.82,5.34,,,,,,53.10,95.97,93.25,68.22,-0.38,2.61,95.82,80.00,30.00,"1,130.00",132.00,70.00,,,64.00,268.00,38.20,155.00,164.00,
PM23 초지릴,2025.03.24,한솔감열지SF 장항,48,2025,3,0829,,,5.75,5.36,,,,,,53.80,96.60,93.50,68.50,-0.36,2.59,95.90,80.00,30.00,"1,130.00",117.00,71.00,,,64.00,260.00,38.20,151.00,163.00,13.10
PM23 초지릴,2025.03.24,한솔감열지SF 장항,48,2025,3,1310,,,5.72,5.43,,,,,,53.30,96.90,93.60,68.80,-0.35,2.58,95.90,80.00,30.00,"1,120.00",121.00,70.00,,,61.00,210.00,38.30,152.00,161.00,
PM23 초지릴,2025.03.24,한솔감열지SF 장항,48,2025,3,1637,,,5.69,5.25,,,,,,53.10,97.40,93.50,68.50,-0.38,2.49,95.80,80.00,30.00,"1,130.00",135.00,70.00,,,65.00,236.00,38.10,153.00,161.00,13.10
PM23 초지릴,2025.03.24,한솔감열지SF 장항,48,2025,3,2002,,,5.71,5.21,,,,,,52.90,96.60,93.40,67.30,-0.38,2.57,95.80,80.00,30.00,"1,130.00",121.00,71.00,,,63.00,214.00,38.50,153.00,164.00,
PM23 초지릴,2025.03.25,한솔감열지SF 장항,48,2025,3,0110,,,5.70,5.25,,,,,,53.20,96.93,93.42,67.04,-0.36,2.48,95.80,80.00,30.00,"1,130.00",121.00,72.00,,,64.00,222.00,38.30,153.00,166.00,13.00
PM23 초지릴,2025.03.25,한솔감열지SF 장항,48,2025,3,0412,,,5.59,5.28,,,,,,53.00,96.05,93.28,67.17,-0.37,2.58,95.81,80.00,30.00,"1,130.00",122.00,69.00,,,63.00,217.00,38.00,155.00,164.00,
PM23 초지릴,2025.03.25,한솔감열지SF 장항,48,2025,3,0924,,,5.94,5.41,,,,,,52.80,96.60,93.40,67.80,-0.36,2.50,95.80,80.00,30.00,"1,130.00",117.00,70.00,,,62.00,220.00,38.00,149.00,162.00,13.20
PM23 초지릴,2025.03.25,한솔감열지SF 장항,48,2025,3,1251,,,5.55,5.25,,,,,,53.40,95.90,93.40,69.20,-0.34,2.53,95.90,80.00,30.00,"1,130.00",121.00,69.00,,,65.00,224.00,38.40,156.00,165.00,
PM23 초지릴,2025.03.25,한솔감열지SF 장항,48,2025,3,1617,,,5.68,5.41,,,,,,53.00,95.50,93.20,69.40,-0.69,2.55,95.80,80.00,30.00,"1,130.00",135.00,70.00,,,63.00,214.00,38.50,160.00,169.00,13.30
PM23 초지릴,2025.03.25,한솔감열지SF 장항,48,2025,3,2016,,,5.78,5.25,,,,,,53.80,96.20,93.40,69.60,-0.39,2.51,95.80,80.00,30.00,"1,130.00",125.00,69.00,,,64.00,243.00,38.40,157.00,170.00,
PM23 초지릴,2025.03.26,한솔감열지SF 장항,48,2025,3,1910,,,5.60,5.27,,,,,,53.00,97.10,93.50,67.70,-0.35,2.53,95.80,80.00,30.00,"1,100.00",146.00,71.00,,,66.00,253.00,38.30,157.00,172.00,13.00
PM23 초지릴,2025.04.03,한솔감열지SF 장항,48,2025,4,1745,,,6.14,5.92,,,,,,54.00,97.20,93.90,67.10,-0.18,2.28,95.90,85.00,35.00,"1,135.00",164.00,69.00,,,65.00,356.00,37.90,155.00,156.00,13.30
PM23 초지릴,2025.04.03,한솔감열지SF 장항,48,2025,4,2109,,,6.07,5.94,,,,,,53.10,94.60,93.20,68.80,-0.25,2.38,95.70,90.00,40.00,"1,135.00",157.00,70.00,,,64.00,250.00,38.60,156.00,157.00,
PM23 초지릴,2025.04.04,한솔감열지SF 장항,48,2025,4,0034,,,5.92,5.49,,,,,,53.20,94.40,93.10,69.70,-0.25,2.39,95.70,90.00,40.00,"1,135.00",175.00,69.00,,,65.00,259.00,38.50,164.00,166.00,13.40
PM23 초지릴,2025.04.04,한솔감열지SF 장항,48,2025,4,0401,,,6.13,5.90,,,,,,53.60,95.50,93.50,68.60,-0.25,2.45,95.90,90.00,40.00,"1,135.00",182.00,69.00,,,65.00,238.00,38.60,152.00,160.00,
PM23 초지릴,2025.04.04,한솔감열지SF 장항,48,2025,4,0808,,,6.11,5.88,,,,,,52.90,96.50,93.50,68.20,-0.27,2.30,95.70,90.00,40.00,"1,150.00",188.00,69.00,,,65.00,233.00,38.40,157.00,164.00,13.10
PM23 초지릴,2025.04.04,한솔감열지SF 장항,48,2025,4,1255,,,5.72,5.49,,,,,,53.80,96.50,93.50,68.20,-0.27,2.28,95.70,90.00,40.00,"1,145.00",197.00,70.00,,,63.00,272.00,38.50,161.00,165.00,
PM23 초지릴,2025.04.04,한솔감열지SF 장항,48,2025,4,1622,,,5.56,5.57,,,,,,53.10,96.20,93.60,68.30,-0.30,2.36,95.80,90.00,40.00,"1,140.00",204.00,69.00,,,63.00,270.00,38.20,161.00,164.00,13.10
PM23 초지릴,2025.04.04,한솔감열지SF 장항,48,2025,4,2050,,,5.85,5.57,,,,,,53.50,94.60,93.40,67.90,-0.33,2.36,95.80,90.00,40.00,"1,140.00",182.00,69.00,,,65.00,306.00,38.50,160.00,161.00,
PM23 초지릴,2025.04.05,한솔감열지SF 장항,48,2025,4,0016,,,5.72,5.53,,,,,,53.20,94.10,93.30,68.30,-0.37,2.50,95.80,90.00,40.00,"1,140.00",168.00,70.00,,,64.00,271.00,38.70,161.00,168.00,13.00
PM23 초지릴,2025.04.05,한솔감열지SF 장항,48,2025,4,0342,,,5.68,5.35,,,,,,53.70,93.70,93.40,69.40,-0.34,2.49,95.90,90.00,40.00,"1,140.00",193.00,69.00,,,64.00,304.00,38.70,165.00,172.00,
PM23 초지릴,2025.04.05,한솔감열지SF 장항,48,2025,4,0851,,,5.75,5.52,,,,,,53.90,94.39,93.58,68.91,-0.33,2.40,95.94,90.00,40.00,"1,140.00",195.00,68.00,,,65.00,316.00,39.00,161.00,168.00,13.10
PM23 초지릴,2025.04.05,한솔감열지SF 장항,48,2025,4,1217,,,5.82,5.61,,,,,,53.40,94.24,93.48,70.19,-0.34,2.42,95.89,90.00,40.00,"1,140.00",179.00,69.00,,,67.00,339.00,38.40,155.00,169.00,
PM23 초지릴,2025.04.05,한솔감열지SF 장항,48,2025,4,1725,,,6.01,5.59,,,,,,53.10,94.60,93.70,68.20,-0.37,2.47,96.00,90.00,40.00,"1,140.00",182.00,69.00,,,68.00,280.00,38.40,158.00,164.00,13.00
PM23 초지릴,2025.04.05,한솔감열지SF 장항,48,2025,4,2134,,,5.80,5.63,,,,,,53.90,95.10,93.60,67.70,-0.49,2.51,95.90,90.00,40.00,"1,092.00",179.00,70.00,,,65.00,250.00,38.40,157.00,162.00,
PM23 초지릴,2025.04.06,한솔감열지SF 장항,48,2025,4,0132,,,5.85,5.75,,,,,,52.10,95.70,93.70,68.10,-0.35,2.49,95.90,90.00,40.00,"1,080.00",161.00,68.00,,,66.00,248.00,37.90,158.00,164.00,13.00
PM23 초지릴,2025.04.06,한솔감열지SF 장항,48,2025,4,0405,,,5.66,5.47,,,,,,54.00,94.40,93.50,68.90,-0.39,2.53,95.90,90.00,40.00,"1,300.00",186.00,67.00,,,67.00,337.00,38.50,165.00,166.00,
PM23 초지릴,2025.04.06,한솔감열지SF 장항,48,2025,4,0914,,,5.85,5.64,,,,,,53.30,95.03,93.65,68.79,-0.37,2.51,95.99,90.00,40.00,"1,140.00",200.00,70.00,,,66.00,311.00,38.50,157.00,164.00,13.10
PM23 초지릴,2025.04.06,한솔감열지SF 장항,48,2025,4,1235,,,5.73,5.52,,,,,,53.20,94.41,93.42,69.58,-0.41,2.58,95.95,90.00,40.00,"1,140.00",200.00,70.00,,,66.00,321.00,38.30,158.00,165.00,
PM23 초지릴,2025.04.06,한솔감열지SF 장항,48,2025,4,1601,,,5.74,5.59,,,,,,53.00,94.80,93.50,68.00,-0.37,2.54,96.00,90.00,40.00,"1,140.00",182.00,67.00,,,67.00,276.00,38.10,160.00,162.00,13.60
PM23 초지릴,2025.04.06,한솔감열지SF 장항,48,2025,4,2016,,,5.72,5.52,,,,,,53.60,94.80,93.50,69.00,-0.38,2.52,95.90,90.00,40.00,"1,140.00",164.00,70.00,,,65.00,256.00,38.50,156.00,162.00,
PM23 초지릴,2025.04.07,한솔감열지SF 장항,48,2025,4,0025,,,5.83,5.40,,,,,,53.30,96.20,94.00,66.70,-0.37,2.52,96.30,90.00,40.00,"1,140.00",189.00,70.00,,,70.00,374.00,38.50,162.00,165.00,13.20
PM23 초지릴,2025.04.10,한솔감열지SF 장항,48,2025,4,0500,,,5.76,5.63,,,,,,53.00,94.30,93.30,68.70,-0.32,2.54,95.80,90.00,40.00,"1,140.00",179.00,70.00,,,64.00,278.00,38.20,162.00,172.00,
PM23 초지릴,2025.04.10,한솔감열지SF 장항,48,2025,4,0824,,,5.76,5.61,,,,,,53.00,96.70,93.60,67.50,-0.33,2.43,95.80,90.00,40.00,"1,128.00",179.00,72.00,,,62.00,230.00,38.20,160.00,162.00,12.60
PM23 초지릴,2025.04.10,한솔감열지SF 장항,48,2025,4,1223,,,5.79,5.57,,,,,,53.50,97.90,93.90,69.30,-0.37,2.19,95.80,90.00,40.00,"1,140.00",171.00,69.00,,,66.00,285.00,38.20,158.00,164.00,13.00
PM23 초지릴,2025.04.10,한솔감열지SF 장항,48,2025,4,1741,,,5.74,5.47,,,,,,53.80,94.00,93.40,70.10,-0.32,2.49,95.90,90.00,40.00,"1,114.00",175.00,69.00,,,67.00,310.00,38.10,164.00,168.00,13.10
PM23 초지릴,2025.04.10,한솔감열지SF 장항,48,2025,4,2041,,,5.82,5.30,,,,,,54.20,94.80,93.40,69.90,-0.35,2.48,95.90,90.00,40.00,"1,130.00",175.00,67.00,,,64.00,375.00,38.20,166.00,174.00,
PM23 초지릴,2025.04.12,한솔감열지SF 장항,48,2025,4,2117,,,5.86,5.79,,,,,,54.40,94.00,93.40,69.10,-0.31,2.46,95.90,90.00,40.00,"1,080.00",207.00,67.00,,,69.00,343.00,38.60,166.00,166.00,14.20
PM23 초지릴,2025.04.13,한솔감열지SF 장항,48,2025,4,0017,,,5.86,5.73,,,,,,53.70,93.05,93.17,68.80,-0.36,2.56,95.90,90.00,40.00,"1,110.00",191.00,71.00,,,67.00,291.00,38.40,158.00,165.00,13.80
PM23 초지릴,2025.04.13,한솔감열지SF 장항,48,2025,4,0913,,,5.82,5.84,,,,,,54.20,93.40,93.10,68.20,-0.33,2.58,95.80,90.00,40.00,"1,096.00",182.00,71.00,,,68.00,313.00,38.70,164.00,166.00,13.00
PM23 초지릴,2025.04.13,한솔감열지SF 장항,48,2025,4,1342,,,5.70,5.65,,,,,,53.30,92.40,92.80,67.00,-0.41,2.60,95.80,90.00,40.00,"1,120.00",186.00,70.00,,,65.00,305.00,38.10,164.00,168.00,
PM23 초지릴,2025.04.13,한솔감열지SF 장항,48,2025,4,1630,,,5.73,5.69,,,,,,52.80,94.50,93.20,68.50,-0.34,2.53,95.70,80.00,30.00,"1,120.00",171.00,69.00,,,67.00,294.00,38.30,161.00,164.00,13.10
PM23 초지릴,2025.04.13,한솔감열지SF 장항,48,2025,4,2025,,,5.80,5.78,,,,,,53.00,95.10,93.30,68.40,-0.36,2.45,95.70,90.00,40.00,"1,120.00",182.00,70.00,,,69.00,333.00,38.70,164.00,165.00,
PM23 초지릴,2025.04.14,한솔감열지SF 장항,48,2025,4,0126,,,5.97,5.71,,,,,,53.20,95.07,93.46,68.78,-0.34,2.49,95.89,90.00,40.00,"1,120.00",200.00,69.00,,,65.00,347.00,38.40,158.00,162.00,12.70
PM23 초지릴,2025.04.14,한솔감열지SF 장항,48,2025,4,0905,,,5.66,5.66,,,,,,53.30,96.40,93.40,69.10,-0.41,2.29,95.70,90.00,40.00,"1,101.00",171.00,70.00,,,66.00,268.00,38.30,162.00,165.00,13.00
PM23 초지릴,2025.04.14,한솔감열지SF 장항,48,2025,4,1232,,,5.97,5.72,,,,,,53.50,93.50,92.90,69.70,-0.52,2.59,95.80,90.00,40.00,"1,137.00",154.00,69.00,,,68.00,300.00,38.20,164.00,162.00,
PM23 초지릴,2025.04.14,한솔감열지SF 장항,48,2025,4,1737,,,5.96,5.71,,,,,,52.70,95.50,93.30,68.20,-0.33,2.58,95.70,90.00,40.00,"1,140.00",179.00,73.00,,,64.00,275.00,38.10,161.00,164.00,13.10
PM23 초지릴,2025.04.14,한솔감열지SF 장항,48,2025,4,2051,,,5.94,5.75,,,,,,53.40,96.10,93.30,68.20,-0.47,2.39,95.60,90.00,40.00,"1,145.00",169.00,71.00,,,68.00,273.00,38.60,153.00,160.00,
PM23 초지릴,2025.04.19,한솔감열지SF 장항,48,2025,4,0208,,,5.56,5.20,,,,,,53.60,92.50,93.20,71.10,-0.37,2.32,95.80,90.00,40.00,"1,130.00",179.00,68.00,,,69.00,342.00,38.10,160.00,169.00,14.80
PM23 초지릴,2025.04.19,한솔감열지SF 장항,48,2025,4,0544,,,5.68,5.45,,,,,,54.30,93.30,93.40,67.60,-0.41,2.57,96.00,90.00,40.00,"1,048.00",175.00,74.00,,,67.00,250.00,38.90,164.00,165.00,
PM23 초지릴,2025.04.19,한솔감열지SF 장항,48,2025,4,0845,,,5.55,5.27,,,,,,53.00,94.30,93.40,69.00,-0.41,2.26,95.80,90.00,40.00,"1,111.00",204.00,70.00,,,68.00,281.00,38.50,161.00,166.00,13.00
PM23 초지릴,2025.04.19,한솔감열지SF 장항,48,2025,4,1215,,,5.32,5.15,,,,,,53.90,90.60,92.70,69.70,-0.42,2.40,95.80,90.00,40.00,"1,120.00",189.00,70.00,,,67.00,323.00,38.40,166.00,168.00,
PM23 초지릴,2025.04.19,한솔감열지SF 장항,48,2025,4,1654,,,5.41,5.23,,,,,,53.00,94.22,93.52,69.32,-0.36,2.39,95.97,90.00,40.00,"1,120.00",175.00,72.00,,,65.00,314.00,38.20,160.00,166.00,13.60
PM23 초지릴,2025.04.19,한솔감열지SF 장항,48,2025,4,2206,,,5.40,5.21,,,,,,52.90,94.21,93.84,69.97,-0.35,2.44,96.12,90.00,40.00,"1,120.00",186.00,69.00,,,66.00,295.00,38.20,163.00,168.00,
PM23 초지릴,2025.04.20,한솔감열지SF 장항,48,2025,4,0141,,,5.41,5.24,,,,,,53.80,93.70,93.60,68.10,-0.38,2.55,96.10,90.00,40.00,"1,120.00",204.00,70.00,,,68.00,331.00,38.20,161.00,165.00,13.80
PM23 초지릴,2025.04.20,한솔감열지SF 장항,48,2025,4,0600,,,5.63,5.18,,,,,,53.30,94.00,93.70,69.40,-0.46,2.42,96.00,90.00,40.00,"1,120.00",164.00,71.00,,,68.00,335.00,38.30,157.00,165.00,13.10
PM23 초지릴,2025.04.20,한솔감열지SF 장항,48,2025,4,0843,,,5.52,5.27,,,,,,53.20,94.40,93.70,67.90,-0.41,2.40,96.00,90.00,40.00,"1,110.00",186.00,70.00,,,66.00,326.00,38.80,163.00,165.00,13.10
PM23 초지릴,2025.04.20,한솔감열지SF 장항,48,2025,4,1410,,,5.41,5.29,,,,,,53.00,93.70,93.60,67.10,-0.41,2.57,96.10,90.00,40.00,"1,120.00",164.00,71.00,,,67.00,301.00,38.10,158.00,164.00,
PM23 초지릴,2025.04.20,한솔감열지SF 장항,48,2025,4,1739,,,5.36,5.21,,,,,,53.40,94.21,93.66,69.28,-0.41,2.55,96.08,90.00,40.00,"1,120.00",189.00,71.00,,,67.00,300.00,38.20,158.00,165.00,13.30
PM23 초지릴,2025.04.20,한솔감열지SF 장항,48,2025,4,2103,,,5.59,5.20,,,,,,53.20,94.40,93.45,68.58,-0.45,2.48,95.94,90.00,40.00,"1,120.00",174.00,70.00,,,66.00,288.00,38.20,158.00,164.00,
PM23 초지릴,2025.04.21,한솔감열지SF 장항,48,2025,4,0049,,,5.39,5.31,,,,,,53.50,91.80,93.00,66.30,-0.49,2.60,95.90,90.00,40.00,"1,101.00",193.00,72.00,,,62.00,285.00,38.40,157.00,160.00,11.70
PM23 초지릴,2025.04.21,한솔감열지SF 장항,48,2025,4,0335,,,5.47,5.30,,,,,,53.40,93.20,93.20,66.70,-0.42,2.62,95.90,90.00,40.00,"1,113.00",182.00,70.00,,,64.00,236.00,38.40,162.00,162.00,13.00
PM23 초지릴,2025.04.22,한솔감열지SF 장항,48,2025,4,1736,,,5.98,5.53,,,,,,53.00,92.95,93.43,65.85,-0.43,2.45,96.01,80.00,30.00,"1,100.00",184.00,71.00,,,60.00,177.00,38.20,147.00,158.00,13.00
PM23 초지릴,2025.04.24,한솔감열지SF 장항,48,2025,4,0858,,,5.78,5.44,,,,,,53.70,89.20,93.10,66.00,-0.46,2.57,96.00,80.00,30.00,"1,135.00",179.00,75.00,,,61.00,226.00,38.40,145.00,153.00,12.10
PM23 초지릴,2025.04.26,한솔감열지SF 장항,48,2025,4,2036,,,5.86,5.36,,,,,,53.00,98.90,93.90,67.80,-0.56,2.53,95.90,90.00,40.00,"1,103.00",179.00,73.00,,,64.00,228.00,38.10,151.00,165.00,12.20
PM23 초지릴,2025.04.30,한솔감열지SF 장항,48,2025,4,0825,,,5.83,5.37,,,,,,53.50,91.30,93.40,66.00,-0.42,2.65,96.10,90.00,40.00,"1,130.00",168.00,75.00,,,63.00,208.00,38.20,156.00,157.00,11.80
PM23 초지릴,2025.04.30,한솔감열지SF 장항,48,2025,4,1316,,,6.03,5.36,,,,,,52.80,91.30,93.10,67.60,-0.37,2.60,95.90,90.00,40.00,"1,130.00",175.00,76.00,,,64.00,187.00,38.50,153.00,160.00,
PM23 초지릴,2025.04.30,한솔감열지SF 장항,48,2025,4,1644,,,5.78,5.42,,,,,,52.40,91.00,92.80,67.80,-0.41,2.62,95.90,90.00,40.00,"1,130.00",161.00,76.00,,,62.00,207.00,38.10,151.00,158.00,12.70
PM23 초지릴,2025.04.30,한솔감열지SF 장항,48,2025,4,2012,,,5.62,5.13,,,,,,53.20,94.30,93.40,67.70,-0.35,2.36,95.80,90.00,40.00,"1,130.00",186.00,73.00,,,63.00,171.00,38.30,156.00,170.00,
PM23 초지릴,2025.05.01,한솔감열지SF 장항,48,2025,5,0123,,,5.66,5.11,,,,,,52.90,94.80,93.50,68.10,-0.30,2.34,95.80,90.00,40.00,"1,130.00",175.00,72.00,,,64.00,202.00,38.10,153.00,164.00,13.10
PM23 초지릴,2025.05.01,한솔감열지SF 장항,48,2025,5,0452,,,5.73,5.48,,,,,,52.80,94.90,93.40,67.20,-0.32,2.35,95.80,90.00,40.00,"1,130.00",179.00,73.00,,,65.00,211.00,38.20,153.00,164.00,
PM23 초지릴,2025.05.01,한솔감열지SF 장항,48,2025,5,0820,,,5.54,5.11,,,,,,53.10,94.50,93.70,67.50,-0.34,2.44,96.00,90.00,40.00,"1,130.00",189.00,74.00,,,63.00,200.00,38.40,157.00,170.00,12.40
PM23 초지릴,2025.05.01,한솔감열지SF 장항,48,2025,5,1330,,,5.69,5.32,,,,,,52.80,94.20,93.70,66.70,-0.38,2.51,96.10,147.00,97.00,"1,300.00",171.00,72.00,,,64.00,190.00,38.20,149.00,162.00,
PM23 초지릴,2025.05.01,한솔감열지SF 장항,48,2025,5,1638,,,5.55,5.18,,,,,,53.60,94.00,93.50,69.40,-0.48,2.30,95.30,90.00,40.00,"1,130.00",200.00,71.00,,,65.00,238.00,38.30,161.00,172.00,12.80
PM23 초지릴,2025.05.01,한솔감열지SF 장항,48,2025,5,2054,,,5.51,5.18,,,,,,53.60,94.00,93.40,69.00,-0.51,2.34,95.80,90.00,40.00,"1,130.00",193.00,68.00,,,64.00,220.00,38.70,162.00,172.00,
PM23 초지릴,2025.05.02,한솔감열지SF 장항,48,2025,5,0022,,,5.75,5.27,,,,,,53.20,93.78,93.45,67.45,-0.43,2.53,95.99,90.00,40.00,"1,130.00",203.00,73.00,,,63.00,232.00,38.40,152.00,165.00,13.20
PM23 초지릴,2025.05.02,한솔감열지SF 장항,48,2025,5,0329,,,5.83,5.37,,,,,,52.80,93.63,93.34,66.37,-0.44,2.59,95.95,90.00,40.00,"1,130.00",197.00,72.00,,,64.00,234.00,38.20,160.00,168.00,
PM23 초지릴,2025.05.02,한솔감열지SF 장항,48,2025,5,0816,,,5.61,5.30,,,,,,53.20,93.20,93.50,67.60,-0.40,2.60,96.00,90.00,40.00,"1,130.00",168.00,76.00,,,63.00,228.00,38.40,157.00,164.00,13.00
PM23 초지릴,2025.05.02,한솔감열지SF 장항,48,2025,5,1221,,,5.59,5.30,,,,,,53.70,93.80,93.30,68.80,-0.48,2.44,95.80,90.00,40.00,"1,135.00",154.00,74.00,,,65.00,237.00,38.40,155.00,161.00,
PM23 초지릴,2025.05.02,한솔감열지SF 장항,48,2025,5,1610,,,5.61,5.22,,,,,,53.80,93.50,93.30,68.10,-0.42,2.45,95.90,90.00,40.00,"1,135.00",182.00,70.00,,,64.00,264.00,38.20,160.00,172.00,13.30
PM23 초지릴,2025.05.02,한솔감열지SF 장항,48,2025,5,2056,,,5.65,5.30,,,,,,52.60,93.90,93.50,68.20,-0.40,2.45,96.00,90.00,40.00,"1,135.00",189.00,72.00,,,67.00,285.00,38.20,160.00,172.00,13.60
PM23 초지릴,2025.05.03,한솔감열지SF 장항,48,2025,5,0008,,,5.62,5.24,,,,,,53.40,94.03,93.53,67.46,-0.41,2.42,95.96,90.00,40.00,"1,135.00",179.00,73.00,,,66.00,260.00,38.30,156.00,165.00,13.70
PM23 초지릴,2025.05.03,한솔감열지SF 장항,48,2025,5,0335,,,5.62,5.32,,,,,,52.90,94.11,93.67,69.59,-0.38,2.47,96.03,90.00,40.00,"1,135.00",186.00,70.00,,,64.00,287.00,38.00,157.00,167.00,
PM23 초지릴,2025.05.03,한솔감열지SF 장항,48,2025,5,0830,,,5.60,5.25,,,,,,53.20,93.80,93.70,68.50,-0.38,2.50,96.10,90.00,40.00,"1,135.00",161.00,72.00,,,64.00,278.00,38.30,157.00,164.00,13.30
PM23 초지릴,2025.05.03,한솔감열지SF 장항,48,2025,5,1239,,,5.86,5.42,,,,,,52.70,94.30,93.40,69.90,-0.50,2.32,95.80,90.00,40.00,"1,135.00",157.00,72.00,,,65.00,242.00,38.20,151.00,164.00,
PM23 초지릴,2025.05.03,한솔감열지SF 장항,48,2025,5,1606,,,5.70,5.28,,,,,,53.10,94.10,93.50,67.10,-0.49,2.49,95.80,90.00,40.00,"1,130.00",171.00,71.00,,,67.00,244.00,38.50,162.00,173.00,13.20
PM23 초지릴,2025.05.03,한솔감열지SF 장항,48,2025,5,2122,,,5.69,5.43,,,,,,53.30,94.50,93.70,68.20,-0.40,2.51,96.00,90.00,40.00,"1,135.00",179.00,71.00,,,63.00,292.00,38.00,155.00,165.00,
PM23 초지릴,2025.05.04,한솔감열지SF 장항,48,2025,5,0050,,,5.59,5.26,,,,,,52.90,94.91,93.59,67.16,-0.47,2.45,95.96,90.00,40.00,"1,135.00",197.00,72.00,,,64.00,261.00,38.20,152.00,164.00,13.10
